SWPC#0#1	1	122411123
SWPC#0#1	122411324	126124205
SWPC#0#1	126124406	169455332
SWPC#0#1	169455533	280268733
SWPC#0#2	1	46163539
SWPC#0#2	46163740	203873284
SWPC#0#3	1	21123281
SWPC#0#3	21123482	190050606
SWPC#0#4	1	50269423
SWPC#0#4	50269624	64794067
SWPC#0#4	64794268	88705887
SWPC#0#4	88706088	113051496
SWPC#0#4	113051697	168625181
SWPC#0#4	168625382	182813652
SWPC#0#5	1	135990451
SWPC#0#6	1	8624150
SWPC#0#6	8624351	22010600
SWPC#0#6	22010801	121846921
SWPC#0#7	1	121889674
SWPC#0#8	1	123314732
SWPC#0#9	1	5235763
SWPC#0#9	5235964	112355845
SWPC#0#10	1	108390249
SWPC#0#11	1	109796162
SWPC#0#12	1	91172394
SWPC#0#13	1	84270603
SWPC#0#14	1	84646488
SWPC#0#15	1	85467828
SWPC#0#16	1	77343108
SWPC#0#17	1	60725680
SWPC#0#17	60725881	70902912
SWPC#0#18	1	73943557
SWPC#0#19	1	70962441
SWPC#0#20	1	62850967
SWPC#0#21	1	65354041
SWPC#0#22	1	54521221
SWPC#0#23	1	36749238
SWPC#0#23	36749439	43817392
SWPC#0#X	1	22779647
SWPC#0#X	22779848	86881931
SWPC#0#X	86882132	106974171
SWPC#0#X	106974372	150163228
SWPC#0#X	150163429	154588898
SWPC#0#X	154589099	165470528
